Unnamed: 0,Headline,Positive,Negative,Neutral,date,article_id
0,20150101 DOMESTIC,0.0280030388385057,0.0563260279595851,0.915670931339264,01/01/2015,1
1,writers are mixed over amazon unlimited,0.0285392571240663,0.7729952931404114,0.1984655410051345,01/01/2015,62
2,finding the bus with the backpack,0.0633650571107864,0.0667939260601997,0.8698410391807556,01/01/2015,61
3,china japan dispute over islands spreads to cyberspace,0.0300706159323453,0.769873857498169,0.2000554800033569,01/01/2015,57
4,20150101_NEWYEAR_HP,0.0448424145579338,0.0796132907271385,0.8755443692207336,01/01/2015,56
5,corrections january 1 2015,0.0225136168301105,0.0544487908482551,0.923037588596344,01/01/2015,55
6,quotation of the day,0.032858982682228,0.0645926594734191,0.9025484323501588,01/01/2015,54
7,whats on tv thursday,0.0284962020814418,0.0573506467044353,0.914153218269348,01/01/2015,53
8,queens man is charged with murdering 4 month old son,0.0305744186043739,0.7354965806007385,0.2339289784431457,01/01/2015,51
9,20150101_NEWYEAR_NYTNOW,0.0268968716263771,0.0603294298052787,0.9127736687660216,01/01/2015,50
10,north korea leader seeks meeting with south,0.1795653104782104,0.0256345812231302,0.7948001027107239,01/01/2015,49
11,college football playoff may be a boon or just a pandoras box,0.051103301346302,0.0514359585940837,0.8974607586860657,01/01/2015,48
12,charles m blow look back to move forward,0.1001650765538215,0.0214430801570415,0.8783918619155884,01/01/2015,47
13,after several false starts finding a career path,0.0998300462961196,0.0959291979670524,0.8042408227920532,01/01/2015,46
14,whereabouts of us spy released in cuba deal are unknown,0.0207054130733013,0.2079105079174041,0.771384060382843,01/01/2015,45
15,20150101_NEWYEAR,0.0447199158370494,0.0491596423089504,0.9061204791069032,01/01/2015,44
16,days of remembrance,0.0460955090820789,0.0757227167487144,0.8781817555427551,01/01/2015,69
17,1940 paris celebrates new year,0.0853697508573532,0.0449746213853359,0.8696556687355042,01/01/2015,70
18,ten tips for happiness on a postcard from the past,0.110759362578392,0.0427914783358573,0.8464491367340088,01/01/2015,72
19,1907 8 the times drops the ball,0.0212938729673624,0.8058924078941345,0.1728136986494064,01/01/2015,83
20,deal makers notched nearly 3 5 trillion worth in 14 best in 7 years,0.759430468082428,0.0193427130579948,0.2212268710136413,01/01/2015,160
21,is the modern american dream attainable,0.1133310571312904,0.0188750009983778,0.8677939176559448,01/01/2015,161
22,20140102_LASCRUCES,0.0367014110088348,0.032813623547554,0.9304848909378052,01/01/2015,163
23,20150101 SHOP,0.029285917058587,0.0592117868363857,0.911502242088318,01/01/2015,1250
24,how the civil war created college football,0.0401816070079803,0.052642423659563,0.9071759581565856,01/01/2015,112
25,burning sensation,0.0346528552472591,0.4363153278827667,0.5290318131446838,01/01/2015,187
26,photographs from nyc 2014,0.0398602709174156,0.0458828695118427,0.9142568111419678,01/01/2015,193
27,cuba arrests dissidents 2 weeks after us accord,0.0256702415645122,0.6372670531272888,0.3370627164840698,01/01/2015,43
28,a different sort of santa suit,0.0521521531045436,0.0785659477114677,0.8692819476127625,01/01/2015,194
29,piketty turns down the legion of honor,0.096086286008358,0.1109295561909675,0.792984127998352,01/01/2015,99
30,dark times ahead for two major paris theaters,0.0606452003121376,0.65000981092453,0.2893450260162353,01/01/2015,98
31,proulx says she regrets brokeback mountain,0.0910183191299438,0.1041622161865234,0.8048194050788879,01/01/2015,89
32,recent history in one chart,0.0627231374382972,0.0205802954733371,0.9166966080665588,01/01/2015,88
33,1914 christmas at the front 2,0.0720640197396278,0.0467775128781795,0.8811585307121277,01/01/2015,86
34,12Pragmatist Interactive,0.0497813448309898,0.0226466655731201,0.9275720119476318,01/01/2015,9305
35,a kanye west paul mccartney single drops just before the ball,0.0522706806659698,0.2866902649402618,0.6610390543937683,01/01/2015,84
36,selma to be screened free in selma,0.062499314546585,0.0199263170361518,0.9175743460655212,01/01/2015,102
37,on brooklyn campus annual antique display goes out with a terrifying wail,0.0320489592850208,0.2227178514003753,0.7452331185340881,01/01/2015,41
38,ts top 10 travel stories in 2014,0.0819274336099624,0.0498213991522789,0.8682512044906616,01/01/2015,76
39,stanford women and silicon valley,0.0577582642436027,0.0387510433793067,0.903490662574768,01/01/2015,39
40,arrest statistics decline sharply police unions deny an organized slowdown,0.016079094260931,0.971947431564331,0.0119735496118664,01/01/2015,21
41,with schoolgirls still missing fragile us nigeria ties falter,0.0924763679504394,0.8236808776855469,0.0838428735733032,01/01/2015,20
42,much of david dukes 91 campaign is now in louisiana mainstream,0.0258585270494222,0.046653214842081,0.9274882078170776,01/01/2015,19
