,Headline,Positive,Negative,Neutral,date,article_id
0,gluten free cookies holiday,0.052703000605106354,0.05236180126667023,0.8949351906776428,02/12/2015,72511
1,new peace talks on syria could be held this month,0.1336272805929184,0.026545826345682144,0.8398269414901733,02/12/2015,72510
2,joba chamberlain returns to cleveland indians and the land of the midges,0.05915818363428116,0.026614457368850708,0.914227306842804,02/12/2015,72478
3,new york city aims for a vast electric car fleet by 2025,0.7127072215080261,0.008670399896800518,0.27862241864204407,02/12/2015,72481
4,nocino walnut liqueur,0.04875979200005531,0.0423240140080452,0.9089162349700928,02/12/2015,72482
5,mark zuckerberg facebook charity,0.026824284344911575,0.06764466315507889,0.9055310487747192,02/12/2015,72509
6,volkswagens software use was illegal german regulator rules,0.02025035209953785,0.36153945326805115,0.6182101964950562,02/12/2015,72508
7,imagining a world without growth,0.0328911729156971,0.1019170805811882,0.8651916980743408,02/12/2015,72484
8,latkes mashed potatoes recipe,0.04662810638546944,0.03765799477696419,0.915713906288147,02/12/2015,72486
9,as obama pushes climate deal republicans move to block emissions rules,0.15871134400367737,0.1838664561510086,0.6574222445487976,02/12/2015,72489
10,justices to rule once again on race in college admissions,0.09214544296264648,0.13959938287734985,0.7682551741600037,02/12/2015,72507
11,istanbul biennial director profile,0.02799983136355877,0.03622376173734665,0.9357764720916748,02/12/2015,72490
12,before giving check out charities and their policies on privacy,0.03641214966773987,0.02386416867375374,0.9397236704826355,02/12/2015,72505
13,pfizers deal for allergan is a dubious milestone,0.07344948500394821,0.0454145185649395,0.8811360597610474,02/12/2015,72504
14,leader of taliban splinter group allied with isis is killed,0.02701970934867859,0.705916166305542,0.26706409454345703,02/12/2015,72491
15,the good old days of the gold standard not really historians say,0.06374604254961014,0.034928567707538605,0.9013253450393677,02/12/2015,72502
16,stevesong1,0.042364396154880524,0.05255298689007759,0.905082643032074,02/12/2015,72492
17,new rules on reporting brokers dismissals to begin dec 12,0.018956467509269714,0.607366144657135,0.37367749214172363,02/12/2015,72495
18,macys cellar chef street food court,0.03345930576324463,0.03918024152517319,0.927360475063324,02/12/2015,72501
19,columbia disputes exxon mobil on climate risk articles,0.07284549623727798,0.5466450452804565,0.38050955533981323,02/12/2015,72512
